Afghanistan,"39,446","27,424","66,870","9,627","10,029","19,656","5,519","6,937","12,456"
Albania,"53,104","65,809","118,913","40,823","46,366","87,189","55,686","59,671","115,357"
Algeria,"68,052","22,652","90,704","66,404","21,600","88,004","85,568","26,513","112,081"
Andorra,276,55,331,79,26,105,129,39,168
Angola,883,934,"1,817","1,039","1,291","2,330","1,391","1,664","3,055"
Antigua and Barbuda,571,255,826,367,328,695,368,346,714
Argentina,"5,286","4,535","9,821","5,867","6,158","12,025","5,451","5,485","10,936"
Armenia,"27,159","34,892","62,051","31,580","41,296","72,876","39,918","52,434","92,352"
Aruba,"1,192",207,"1,399",283,321,604,364,353,717
Australia,"8,790","3,982","12,772","10,526","4,983","15,509","11,699","5,464","17,163"
Austria,"5,208","2,783","7,991","4,980","3,184","8,164","4,938","3,201","8,139"
Azerbaijan,"7,712","8,607","16,319","9,092","10,649","19,741","10,298","12,278","22,576"
Bahamas,"1,596","1,028","2,624","2,204","1,589","3,793","2,134","1,583","3,717"
Bahrain,"1,469",677,"2,146","1,920",963,"2,883","2,813",961,"3,774"
Bangladesh,"3,828,371","834,324","834,324","5,418,800","1,079,126","6,497,926","7,667,030","895,221","8,562,251"
Barbados,"1,262",488,"1,750","2,078",726,"2,804","3,237",730,"3,967"
Belarus,"33,591","28,506","62,097","36,235","29,406","65,641","39,240","31,641","70,881"
Belgium,"3,164","2,207","5,371","4,038","2,980","7,018","4,327","3,051","7,378"
Belize,474,461,935,503,600,"1,103",531,528,"1,059"
Benin,"13,066","4,169","17,235","31,000","5,008","36,008","24,702","6,074","30,776"
Bhutan,338,414,752,384,380,764,436,454,890
Bolivia,"3,509","4,034","7,543","3,667","4,092","7,759","4,703","4,464","9,167"
Bosnia and Herzegovina,"1,844","1,793","3,637","2,182","2,296","4,478","2,894","3,052","5,946"
Botswana,505,319,824,624,422,"1,046",443,413,856
Brazil,,,0,,,0,,,0
Brunei,165,143,308,147,172,319,141,151,292
Bulgaria,"24,010","19,202","43,212","31,362","25,176","56,538","36,300","30,641","66,941"
Burkina Faso,"7,128","2,100","9,228","7,498","2,495","9,993","9,159","3,082","12,241"
Burma,"48,096","34,217","82,313","34,731","24,952","59,683","24,394","17,978","42,372"
Burundi,"1,786","1,730","3,516","2,075","1,699","3,774","2,394","1,886","4,280"
Cambodia,"54,962","11,377","66,339","51,367","9,495","60,862","63,497","9,332","72,829"
Cameroon,"126,428","63,194","189,622","130,072","59,680","189,752","143,400","60,506","203,906"
Cape Verde,232,250,482,980,846,"1,826",332,367,699
Central African Republic,494,343,837,591,415,"1,006",572,404,976
Chad,"1,244",776,"2,020","1,475",837,"2,312","1,448",726,"2,174"
Chile,"1,552","1,626","3,178","2,175","2,285","4,460","1,992","2,172","4,164"
Christmas Island,11,7,18,5,,5,10,3,13
Cocos Islands,4,1,5,4,4,8,6,4,10
Comoros,241,159,400,290,153,443,192,103,295
"Congo, Democratic Republic of
The","46,093","46,040","92,133","69,949","68,609","138,558","106,375","102,400","208,775"
"Congo, Republic of The","2,923","2,492","5,415","3,490","3,130","6,620","4,077","3,634","7,711"
Cook Islands,11,9,20,10,10,20,19,11,30
Costa Rica,"2,212","2,152","4,364","2,441","2,487","4,928","2,283","2,435","4,718"
Cote d'Ivoire,"22,517","8,882","31,399","29,273","10,215","39,488","24,426","9,075","33,501"
Croatia,"2,141","1,603","3,744","2,859","2,448","5,307","3,032","2,491","5,523"
Cuba,"10,591","12,614","23,205","19,431","21,059","40,490","15,795","16,901","32,696"
Curacao,,,0,,,0,,,0
Cyprus,563,383,946,697,527,"1,224",696,536,"1,232"
Czech Republic,"3,403","2,375","5,778","4,031","2,718","6,749","4,180","2,803","6,983"
Denmark,"2,029","1,516","3,545","2,394","1,823","4,217","2,507","2,020","4,527"
Djibouti,"1,318",348,"1,666","1,515",497,"2,012","2,229",742,"2,971"
Dominica,694,673,"1,367",856,841,"1,697",820,828,"1,648"
Ecuador,,,0,,,0,,,0
Egypt,"287,543","354,778","642,321","238,451","295,924","534,375","335,372","445,356","780,728"
Equatorial Guinea,261,219,480,291,274,565,297,308,605
Eritrea,"20,863","15,531","36,394","24,654","17,662","42,316","26,177","18,823","45,000"
Estonia,"1,540","1,161","2,701","1,966","1,611","3,577","2,294","1,794","4,088"
Ethiopia,"542,346","203,026","745,372","486,657","176,001","662,658","581,699","203,619","785,318"
Faroe Islands,,,0,,,0,,,0
Fiji,"6,050","6,627","12,677","5,957","6,257","12,214","6,901","5,983","12,884"
Finland,"2,013","1,871","3,884","2,656","2,525","5,181","2,640","2,514","5,154"
France,"22,816","13,486","36,302","27,360","16,862","44,222","24,713","15,931","40,644"
French Guiana,76,56,132,108,77,185,92,57,149
French Polynesia,186,160,346,286,258,544,283,305,588
"French Southern and Antarctic
Lands",17,14,31,15,7,22,17,12,29
Gabon,"1,243",548,"1,791","1,365",599,"1,964","1,651",770,"2,421"
Gambia,"3,968","2,156","6,124","3,004","1,846","4,850","6,431","2,428","8,859"
Georgia,"15,638","16,315","31,953","18,611","20,642","39,253","23,024","26,252","49,276"
Germany,"60,735","44,826","105,561","60,599","45,554","106,153","58,248","44,127","102,375"
Ghana,"393,555","129,893","523,448","482,730","127,194","609,924","641,777","132,780","774,557"
Greece,"1,836","1,266","3,102","2,233","1,568","3,801","2,738","2,089","4,827"
Greenland,48,32,80,51,25,76,46,25,71
Grenada,598,415,"1,013",624,462,"1,086",674,533,"1,207"
Guadeloupe,261,167,428,400,285,685,342,281,623
Guatemala,,,0,,,0,,,0
Guinea,"34,457","9,122","43,579","38,808","9,659","48,467","56,973","11,883","68,856"
Guinea-Bissau,193,138,331,226,145,371,219,168,387
Guyana,"1,546","1,652","3,198","1,502","1,742","3,244","1,510","1,689","3,199"
Honduras,"2,530","3,477","6,007","3,918","5,350","9,268","4,617","6,182","10,799"
"Hong Kong Special Administrative
Region","4,403","2,995","7,398","4,427","3,073","7,500","4,229","2,765","6,994"
Hungary,"6,171","5,044","11,215","8,197","7,166","15,363","8,324","7,179","15,503"
Iceland,761,900,"1,661","1,053","1,372","2,425","1,075","1,392","2,467"
Indonesia,"22,727","22,012","44,739","15,563","16,919","32,482","14,384","15,565","29,949"
Iran,"245,733","224,546","470,279","223,426","203,079","426,505","289,586","258,149","547,735"
Iraq,"8,290","12,665","20,955","7,515","12,748","20,263","7,088","11,852","18,940"
Ireland,"6,993","3,239","10,232","6,848","3,670","10,518","7,733","3,933","11,666"
Israel,"8,816","10,423","19,239","9,115","11,108","20,223","9,169","11,685","20,854"
Italy,"13,831","7,903","21,734","17,767","10,697","28,464","19,009","11,362","30,371"
Japan,"30,248","20,582","50,830","28,816","19,892","48,708","27,175","19,379","46,554"
Jordan,"10,067","13,857","23,924","8,498","13,568","22,066","8,333","14,202","22,535"
Kazakhstan,"8,792","9,402","18,194","10,967","12,199","23,166","13,476","15,556","29,032"
Kenya,"136,003","87,583","223,586","163,437","97,297","260,734","198,606","105,477","304,083"
Kiribati,75,61,136,64,63,127,80,95,175
Kosovo,"4,228","5,596","9,824","4,435","6,117","10,552","5,286","6,612","11,898"
Kuwait,"4,492","6,424","10,916","5,502","8,770","14,272","5,670","9,429","15,099"
Kyrgyzstan,"4,651","5,200","9,851","5,670","6,717","12,387","7,761","9,590","17,351"
Laos,307,374,681,303,371,674,216,272,488
Latvia,"2,459","1,998","4,457","4,921","4,513","9,434","5,050","4,546","9,596"
Lebanon,"11,062","16,577","27,639","12,846","19,907","32,753","12,304","19,290","31,594"
Lesotho,158,104,262,145,112,257,125,109,234
Liberia,"68,022","51,207","119,229","64,245","46,715","110,960","82,497","59,252","141,749"
Libya,"2,930","3,318","6,248","3,409","4,169","7,578","3,980","4,924","8,904"
Liechtenstein,32,13,45,37,21,58,46,36,82
Lithuania,"4,842","4,188","9,030","8,891","8,046","16,937","12,375","11,364","23,739"
Luxembourg,223,157,380,276,194,470,274,191,465
"Macau Special Administrative
Region",380,225,605,386,221,607,550,287,837
Macedonia,"5,652","6,593","12,245","6,730","7,180","13,910","6,278","6,154","12,432"
Madagascar,874,986,"1,860","1,354","1,529","2,883",896,"1,066","1,962"
Malawi,803,846,"1,649",846,838,"1,684",883,848,"1,731"
Malaysia,"6,568","6,488","13,056","6,967","6,974","13,941","6,935","6,609","13,544"
Maldives,101,107,208,139,161,300,151,181,332
Mali,"4,680","1,539","6,219","3,846","1,765","5,611","4,349","1,542","5,891"
Malta,242,227,469,299,262,561,303,274,577
Marshall Islands,9,2,11,128,157,285,17,16,33
Martinique,203,107,310,282,177,459,241,153,394
Mauritania,"1,063",333,"1,396",974,481,"1,455","1,161",596,"1,757"
Mauritius,"1,230","1,422","2,652","1,459","1,733","3,192","1,287","1,546","2,833"
Mayotte,,,0,,,0,,,0
"Micronesia, Federated States of",15,16,31,15,16,31,21,19,40
Moldova,"22,335","13,303","35,638","34,275","22,533","56,808","45,283","30,603","75,886"
Monaco,68,44,112,61,39,100,66,32,98
